document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,res_u,res_com,res_dif,ID,gender,age,comments
I rarely if ever have had a negative experience with service. I order most things to not have to deal with the hassle of someone messing up.,2,[],0,0,0.0,0,4,4,0,6055fb746f6bddc0d1a3e1e0,1,30,none
I had an error with my credit card where there was a purchase on there that was not made by me. I had to call their customer service line and be transferred to a specific department. The customer service agent was well mannered and we got this information and situation resolved quite easily. ,3,"['was not made', 'be transferred']",2,2,0.6666666666666666,1,2,5,-3,5f0df5a03845a80dfb809e2f,1,40,No.
"I pre-ordered a sandwich using the restaurant's app. The app told me the food was ready to be picked up, and would be on a pick-up shelf. When I got there, the food was not on the shelf. No one would look at me or acknowledge me, so I had to wait in the general line and wait for my food, defeating the purpose of pre-ordering and using the app. The staff was pretty rude about all of it too.",5,['be picked'],1,1,0.2,1,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
"I lived in an apartment building where everyone was required to have the same Wifi provider. But with all of the different connections, all of the tenants signals were interfering with the others. When we called to ask if there was anything that could be done to stop our signals from interrupting or being interrupted the wifi company said there was nothing they could do an we had to deal with it. So they said we still had to pay full price for a service that no one in the building could use smoothly.",4,"['was required', 'could be done', 'being interrupted']",3,2,0.5,1,1,6,-5,60feedfaf00a8094a9bda931,2,26,No
"I had placed an online order for a product from a very popular business. I had been waiting for a while to receive my product and the tracking service the business used was faulty. When I received the product, not only did I receive the incorrect product, but I also noticed they had taken 3x the amount of the product out of my account. They refused to return the money they had taken and gave me only a partial refund on the return of the item. I had to file a dispute with my bank. ",5,[],0,0,0.0,0,1,7,-6,60ff2412969d112ed2157dc5,2,19,no
I had a bad experience at Taco Bell. They messed up my taco order and I had to have them remake it. They remade it 5 times before they finally got it right. I was so frustrated. It was resolved by me writing what I wanted on the tacos on a sheet of paper and giving it to them to follow. ,5,['was resolved'],1,1,0.2,1,1,7,-6,5d6c26967832980018762e61,2,32,no
"I ordered a shirt from a website. The shirt arrived, but was the wrong color and size. I tried to reach customer service but have been unable to resolve. ",3,[],0,0,0.0,0,1,7,-6,610998fde656dcf7a023da2d,2,38,no
I ordered from McDonalds and the order they gave me was wrong. It was correct on the receipt so I showed them the receipt and showed them the order they gave me. They let me keep the wrong order and told me to wait and they would bring out my correct order. They also apologized and even gave me extra sauce for my meal.,4,[],0,0,0.0,0,1,7,-6,5962d463604aac0001210f67,2,30,No
"I recently went out to eat. When we arrived, the hosts did not greet us for at least 10 minutes, so we stood there looking confused. We had reservations for 7:30 and did not get sat until 7:50. The hosts were not very kind or accommodating. ",4,['get sat'],1,1,0.25,1,1,6,-5,61041ee352053324556d8019,2,24,no
"I wanted to check if I could use my new cell phone with US Mobile. Unlike other sites, it didn't have a phone checker on the site. I tried to engage with the customer service on chat. That person on chat had trouble understanding what I wanted, seemed somewhat argumentative, and finally checked the phone (by its number) for me. I just didn't have any confidence in US Mobile after this and I don't understand why their website is so difficult and why the customer service  person couldn't comprehend what I wanted. Based on this I decided not to use US Mobile.",6,[],0,0,0.0,0,1,7,-6,55cf5cc434e9060005e56c39,2,61,"I was worried my story wasn't negative enough, but I found it negative."
"One time we decided to extend a one-day trip at the last minute. Hotels near us were booked, but we found something further away and booked online. On check-in we discovered that the room was filthy, crawling with insects, the floor giving way under our feet. The manager refused to return our money when we left within minutes of check-in. We disputed the charge with our bank and within a few weeks the bank decided in out favor, returning the money.",5,['were booked'],1,1,0.2,1,4,6,-2,623a4d7294028cfe9638272f,2,53,No.
"Once I ordered something online to pick up in the store. I got an email that said it had arrived, so I went to the store to pick it up, but no one was at the customer service desk. I asked someone to call someone to help me, but no one arrived for over 20 minutes, at which time the customer service desk was closed. Then the person who was helping me said the item hadn't arrived and that I needed to call online customer service. The package that I was there to pick up was right behind him the whole time and I was very angry once I finally convinced him to look on the shelf.",5,[],0,0,0.0,0,1,7,-6,575447b2cf4430000752a898,2,35,no
