document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,Unnamed: 0,PassiveMatch(es),PassiveCount,ID,Test,Cond,human_coding,match
The politics being discussed were causing scene.,1,['being discussed'],1,1,1.0,1,0,['being discussed'],1,A3ATU3VULAB7K2,2.0,2,1,True
The world of politics is quite fascinating.,1,[],0,0,0.0,0,1,,0,A1CTJ8UT7SF317,1.0,1,0,True
I don usually participate in discussions about politics.,1,[],0,0,0.0,0,2,,0,A327Q0Y175MEH7,1.0,1,0,True
The president was impeached before his second term.,1,['was impeached'],1,1,1.0,1,3,['was impeached'],1,A19TD2J8506A4Y,1.0,2,1,True
The President just gave speech about COVID relief.,1,[],0,0,0.0,0,4,,0,A2DDXYTEVDV5F5,1.0,1,0,True
I wish the government was better.,1,[],0,0,0.0,0,5,,0,AJ9O2ZA0E8UDZ,2.0,2,0,True
Sanders fights for the working class.,1,[],0,0,0.0,0,6,,0,AYXXMHLZRAPF9,1.0,1,0,True
Politics is topic for the commoners.,1,[],0,0,0.0,0,7,,0,A3M0L33TPD346S,1.0,1,0,True
The passage of the bill was interrupted by politics.,1,['was interrupted'],1,1,1.0,1,8,['was interrupted'],1,A33GB614ST7J82,1.0,2,1,True
The Democratic candidate won the election by landslide.,1,[],0,0,0.0,0,9,,0, COPIEDAKHKMEPXX1YZ9,2.0,1,0,True
The House passed the bill with bipartisan support.,1,[],0,0,0.0,0,10,,0,A23273YME4RCEB,1.0,1,0,True
Politics was the focus of her television viewing.,1,[],0,0,0.0,0,11,,0,A3O4WYGKH31OX,1.0,2,0,True
"A dangerous game, politics sometimes is.",2,[],0,0,0.0,0,12,,0,A3NLSGHK6RFXA8,1.0,2,0,True
Donald Trump destroyed the Republican Party.,1,[],0,0,0.0,0,13,,0,AOJF7CPZVK5U3,1.0,1,0,True
An interesting election had occured.,1,[],0,0,0.0,0,14,,0,A154ZJKRSX6847,1.0,2,1,False
Politics is believed to be unimportant by number of Americans.,1,['is believed'],1,1,1.0,1,15,['is believed'],1,A3FXVNZ5VG98IP,1.0,2,1,True
I am stunned at the impact politics is having on our country these days.,1,[],0,0,0.0,0,16,['am stunned'],1,AYXN53TNFG71P,1.0,1,0,False
The president was elected last week. ,1,['was elected'],1,1,1.0,1,17,['was elected'],1,AMUKX1DM4ASA7,1.0,2,1,True
Politics is hot topic issue for many Americans.,1,[],0,0,0.0,0,18,,0,AFE7E450NETF2,1.0,1,0,True
POLITICS DRIVE EVERYONE CRAZY.,1,[],0,0,0.0,0,19,,0,A2DLZ9PK82J8L2,1.0,1,0,True
Politics is den of snakes. ,1,[],0,0,0.0,0,20,,0,ARON01UO1YK7I,2.0,2,0,True
I was happy to vote. ,1,[],0,0,0.0,0,21,,0,A3RNGN5WLE1OBU,1.0,1,0,True
The past President did not do so well.,1,[],0,0,0.0,0,22,,0,A1ZZETG57T5D5X,2.0,2,0,True
Politics is very messy,1,[],0,0,0.0,0,23,,0,A2Z75NJBZ46RE9,1.0,1,0,True
American politics was ruined by Donald Trump.,1,['was ruined'],1,1,1.0,1,24,['was ruined'],1,A1CI5U3BLQ2DDS,1.0,2,1,True
 Politics is the art of the possible. ,1,[],0,0,0.0,0,25,,0,A1CI5U3BLQ2DDS ,1.0,1,0,True
He voted for the Democratic candidate. ,1,[],0,0,0.0,0,26,,0,ATSNZCC16HIOI,1.0,1,0,True
I want to see the best politics from the Democratic Party ,1,[],0,0,0.0,0,27,,0,A1SWGSFIMZJQE,2.0,2,0,True
Politics can can cause discomfort in some people. ,1,[],0,0,0.0,0,28,,0,A33UZLF8WW0DV1,2.0,2,0,True
The Trump regime is far from over.,1,[],0,0,0.0,0,29,,0,A39GP79ULCP9J2,1.0,1,0,True
Politics is contentious.,1,[],0,0,0.0,0,30,,0,A2X5BYJKVKSYQQ,1.0,1,0,True
