,Sentence,human_coding
0,The politics being discussed were causing scene.,1
1,The world of politics is quite fascinating.,0
2,I don usually participate in discussions about politics.,0
3,The president was impeached before his second term.,1
4,The President just gave speech about COVID relief.,0
5,I wish the government was better.,0
6,Sanders fights for the working class.,0
7,Politics is topic for the commoners.,0
8,The passage of the bill was interrupted by politics.,1
9,The Democratic candidate won the election by landslide.,0
10,The House passed the bill with bipartisan support.,0
11,Politics was the focus of her television viewing.,0
12,"A dangerous game, politics sometimes is.",0
13,Donald Trump destroyed the Republican Party.,0
14,An interesting election had occured.,1
15,Politics is believed to be unimportant by number of Americans.,1
16,I am stunned at the impact politics is having on our country these days.,0
17,The president was elected last week. ,1
18,Politics is hot topic issue for many Americans.,0
19,POLITICS DRIVE EVERYONE CRAZY.,0
20,Politics is den of snakes. ,0
21,I was happy to vote. ,0
22,The past President did not do so well.,0
23,Politics is very messy,0
24,American politics was ruined by Donald Trump.,1
25, Politics is the art of the possible. ,0
26,He voted for the Democratic candidate. ,0
27,I want to see the best politics from the Democratic Party ,0
28,Politics can can cause discomfort in some people. ,0
29,The Trump regime is far from over.,0
30,Politics is contentious.,0
31,I once voted in local election ,0
32,I vote because it is my right.,0
33,The race was won by President Trump.,1
34,I am watching this politician lie right now ,0
35,Joe Biden signed the stimulus bill.,0
36,Politics have become senseless.,1
37,Trump is the worst president of all time. ,0
38,I do not know much about my country politics. ,0
39,I went to the political rally,0
40,Politics is difficult career.,0
41,Politics are very controversial.,0
42,"The people voted for the President,",0
43,The country was shown lot of problems with politics,1
44,The voters were important in deciding the election. ,0
45,The man read about politics in his local newspaper.,0
46,Liberal politics are out of control. ,0
47,Most politicians seem to only be in it for themselves.,0
48,Getting involved in politics is easy.,0
49,The ballots were clearly marked on Election Day.,1
50,He had no interest in politics,0
51,Politics often threatens family gatherings that would otherwise be fun.,0
52,I went and voted today.,0
53,The politics pay big role.,0
54,The mayor in the politicians office was corrupted. ,1
55,The Republicans were defeated by the Democrats in the last US Presidential election.,1
56,Citizens were impacted by the president choices.,1
57,A person politics make up their personality.,0
58,I am campaigning for cause that supports Republican Politics.,0
59,Trump yelled at the heckler ,0
60,The family would have heated political arguments after dinner. ,0
61,The debate tonight was heated ,0
62,Politics requires suffering.,0
63,There were not enough votes to elect him.,1
64,Joe Biden toured the country when he ran for President.,0
65,Politics ruins society.,0
66,Donald Trump got beat by Joe Biden in the 2020 Elections.,1
67,An error was made in the tabulation of votes.,1
68,Politics are very complicated.,0
69,Abortion is sensitive topic for many people.,0
70,I am into politics,0
71,The politician was impeached for extreme corruption.,1
72,I don want to write anything about politics ,0
73,Politics is in every workplace .,0
74,The president was elected that night.,1
75,Politics can be stressful to be involved in. ,0
76,Politics are product of systems.,0
77,I do not like Donal Trump.,0
78,Politics help society function.,0
79,I wish there had been different candidates running for President in the election.,1
80,The nation is arguing over politics,0
81,The president did not want to concede the ellection.,0
82,i liked politics,0
83,Politics are slipper slope.,0
84,Politics never interested me growing up.,1
85,Politics would have to be considered.,1
86,The President signed the bill into law today.,0
87,I avoid talking about politics.,0
88,My favorite candidate is Joe Biden,0
89,The American people were misled by the government message.,1
90,I feel like all they talk about is the politics on the news. ,0
